"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 21:34:35 GMT 2024","Mon Jun 03 21:34:36 GMT 2024","1584","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:28 GMT 2024","Mon Jun 03 21:34:31 GMT 2024","2274","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:31 GMT 2024","Mon Jun 03 21:34:33 GMT 2024","1558","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:39 GMT 2024","Mon Jun 03 21:34:40 GMT 2024","1456","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:37 GMT 2024","Mon Jun 03 21:34:38 GMT 2024","1398","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:33 GMT 2024","Mon Jun 03 21:34:34 GMT 2024","1508","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
