"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 21:34:45 GMT 2024","Mon Jun 03 21:34:46 GMT 2024","1150","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:41 GMT 2024","Mon Jun 03 21:34:43 GMT 2024","1570","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:32 GMT 2024","Mon Jun 03 21:34:37 GMT 2024","4723","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:39 GMT 2024","Mon Jun 03 21:34:41 GMT 2024","1369","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:38 GMT 2024","Mon Jun 03 21:34:39 GMT 2024","1489","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:34:43 GMT 2024","Mon Jun 03 21:34:44 GMT 2024","1337","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
