"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 21:14:01 GMT 2024","Mon Jun 03 21:14:03 GMT 2024","1492","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:13:59 GMT 2024","Mon Jun 03 21:14:01 GMT 2024","1885","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:14:05 GMT 2024","Mon Jun 03 21:14:06 GMT 2024","1398","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:14:03 GMT 2024","Mon Jun 03 21:14:05 GMT 2024","1436","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:14:09 GMT 2024","Mon Jun 03 21:14:10 GMT 2024","1405","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Mon Jun 03 21:14:07 GMT 2024","Mon Jun 03 21:14:08 GMT 2024","1404","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
