"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 12:05:01 GMT 2024","Sat Jun 15 12:05:05 GMT 2024","4126","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.TitleTest","com.lumatest.test.TitleTest","testTitle","testTitle","Smoke test for the title"
"passed","Sat Jun 15 12:05:01 GMT 2024","Sat Jun 15 12:05:07 GMT 2024","6060","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Sat Jun 15 12:05:29 GMT 2024","Sat Jun 15 12:05:32 GMT 2024","2722","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.TitleTest","com.lumatest.test.TitleTest","testTitle","testTitle","Smoke test for the title"
"passed","Sat Jun 15 12:05:29 GMT 2024","Sat Jun 15 12:05:35 GMT 2024","5736","CrossBrowser Test Suite","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
